# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
2.750       1.9163715       4.9834013       1.7767865
2.750       1.9477874       4.8693705       1.8229206
2.750       1.9792034       4.7636752       1.8710425
2.750       2.0106193       4.6431059       1.9119141
2.750       2.0734512       4.4218591       1.9969012
2.750       2.1362830       4.2201361       2.0843616
2.750       2.1991149       4.1368338       2.2288563
2.750       2.2619467       3.9592920       2.3213194
2.750       2.3247786       3.8347853       2.4409343
2.750       2.3876104       3.5725307       2.4634096
2.750       2.4504423       3.5278944       2.6297791
2.750       2.5132741       3.3959192       2.7311603
2.750       2.5761060       3.2486539       2.8136164
2.750       2.6389378       3.1670428       2.9485715
2.750       2.7017697       3.0815869       3.0788579
2.750       2.7646015       2.9582530       3.1666730
2.750       2.8274334       2.9127857       3.3354616
2.750       2.8902652       2.7805607       3.4010713
2.750       2.9530971       2.7379502       3.5721442
2.750       3.0159289       2.6439199       3.6743614
2.750       3.0787608       2.5674378       3.7957538
2.750       3.1415927       2.4776772       3.8919263
2.750       3.2044245       2.3905872       3.9849694
2.750       3.2672564       2.3979961       4.2370966
2.750       3.3300882       2.3464812       4.3898993
2.750       3.3929201       2.2713336       4.4944036
2.750       3.4557519       2.2266117       4.6552437
2.750       3.5185838       2.1771784       4.8047187
2.750       3.5814156       2.1064876       4.9022262
2.750       3.6442475       2.0593836       5.0492990
2.750       3.7070793       2.0153558       5.2013685
2.750       3.7699112       1.9605893       5.3216982
2.750       3.8327430       1.9229500       5.4848828
2.750       3.8955749       1.8642872       5.5833873
2.750       3.9584067       1.8482268       5.8074674
2.750       4.0212386       1.8060442       5.9494684
2.750       4.1469023       1.7167433       6.2022182
2.750       4.2725660       1.6537680       6.5344823
2.750       4.3982297       1.6073945       6.9282963
2.750       4.5238934       1.5192482       7.1258402
2.750       4.6495571       1.4907454       7.5911664
2.750       4.7752208       1.4189496       7.8274016
2.750       4.9008845       1.3747000       8.1978812
2.750       5.0265482       1.3185753       8.4836893
2.750       5.1522120       1.2632362       8.7525776
2.750       5.2778757       1.2253338       9.1264551
2.750       5.4035394       1.1681881       9.3372288
2.750       5.5292031       1.1609762       9.9421706
2.750       5.6548668       1.1121664       10.188427
2.750       5.7805305       1.0807184       10.575134
2.750       5.9061942       1.0422384       10.878286
2.750       6.0318579      0.99900614       11.106871
2.750       6.1575216      0.97004393       11.473066
2.750       6.2831853      0.94244851       11.843157
2.750       6.4088490      0.92177919       12.292417
2.750       6.5345127      0.88030178       12.443469
2.750       6.6601764      0.86251181       12.908997
2.750       6.7858401      0.84415142       13.362924
2.750       6.9115038      0.80852554       13.523268
2.750       7.0371675      0.78402546       13.841849
2.750       7.1628313      0.76924055       14.321437
2.750       7.2884950      0.75037616       14.718477
2.750       7.4141587      0.72078818       14.882077
2.750       7.5398224      0.70453273       15.298709
2.750       7.6654861      0.68697573       15.675837
2.750       7.7911498      0.67707638       16.222306
2.750       7.9168135      0.65693405       16.513657
2.750       8.0424772      0.64070641       16.884914
2.750       8.2938046      0.59983562       17.336599
2.750       8.5451320      0.56091085       17.730477
2.750       8.7964594      0.54405033       18.760009
2.750       9.0477868      0.52750067       19.793398
2.750       9.2991143      0.49603120       20.207101
2.750       9.5504417      0.48266373       21.300279
2.750       9.8017691      0.46412704       22.142188
2.750       10.053096      0.44467854       22.888429
2.750       10.304424      0.42838193       23.745021
2.750       10.555751      0.40573135       24.175545
2.750       10.807079      0.39003076       24.939863
2.750       11.058406      0.37004878       25.351685
2.750       11.309734      0.36074448       26.437907
2.750       11.561061      0.34198286       26.771190
2.750       11.812388      0.33479413       27.955113
2.750       12.063716      0.31803049       28.286702
2.750       12.315043      0.30861751       29.201062
2.750       12.566371      0.29690844       29.848491
2.750       12.817698      0.28268021       30.157531
2.750       13.069025      0.27948049       31.604678
2.750       13.320353      0.26419067       31.632603
2.750       13.571680      0.25303495       32.044362
2.750       13.823008      0.24855391       33.258182
2.750       14.074335      0.23762662       33.562091
2.750       14.325663      0.22803987       33.964497
2.750       14.576990      0.21948556       34.441318
2.750       14.828317      0.21215658       35.043089
2.750       15.079645      0.20836854       36.197264
2.750       15.330972      0.20197173       36.869727
2.750       15.582300      0.19159702       36.724311
2.750       15.833627      0.18955962       38.120389
2.750       16.084954      0.18179737       38.328105
2.750       16.587609      0.17303287       40.008316
2.750       17.090264      0.15720261       39.753588
2.750       17.592919      0.14983144       41.332048
2.750       18.095574      0.14108727       42.352119
2.750       18.598229      0.13780700       44.911367
2.750       19.100883      0.12913228       45.589564
2.750       19.603538      0.12123883       46.271692
2.750       20.106193      0.11700586       48.180067
2.750       20.608848      0.10915223       48.402078
2.750       21.111503      0.10574775       50.407926
