# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
2.750       19.603538     0.097173062       37.086815
2.750       20.106193     0.090472897       37.254462
2.750       20.608848     0.085501280       37.914385
2.750       21.111503     0.085415675       40.716016
2.750       21.614157     0.078178526       39.991958
2.750       22.116812     0.074010430       40.563066
2.750       22.619467     0.068611999       40.226981
2.750       23.122122     0.065209974       40.838271
2.750       23.624777     0.062815810       41.960665
2.750       24.127432     0.058857852       41.880123
2.750       24.630086     0.055078426       41.691698
2.750       25.132741     0.052712566       42.393961
2.750       25.635396     0.050282670       42.914957
2.750       26.138051     0.047002615       42.521823
2.750       26.640706     0.045132355       43.231015
2.750       27.143361     0.044067268       44.645453
2.750       27.646015     0.040482988       43.335165
2.750       28.148670     0.037590000       42.473322
2.750       28.651325     0.037229653       44.360188
2.750       29.153980     0.035066374       44.020470
2.750       29.656635     0.032350672       42.748332
2.750       30.159289     0.031615630       43.937507
2.750       30.661944     0.029324253       42.824894
2.750       31.164599     0.028843617       44.228745
2.750       31.667254     0.025631666       41.236169
2.750       32.169909     0.026547850       44.776392
2.750       33.175218     0.022487743       41.596568
2.750       34.180528     0.021748021       43.997328
2.750       35.185838     0.019982538       44.098580
2.750       36.191147     0.017867285       42.907764
2.750       37.196457     0.015391988       40.130050
2.750       38.201767     0.014527632       41.031316
2.750       39.207076     0.012950561       39.541416
2.750       40.212386     0.013079565       43.086685
2.750       41.217696     0.011048342       39.193902
2.750       42.223005    0.0099215280       37.835218
2.750       43.228315     0.011100741       45.428368
2.750       44.233625    0.0083168675       36.465958
2.750       45.238934    0.0082310454       38.606671
2.750       46.244244    0.0074490366       37.320153
2.750       47.249554    0.0074816727       39.981777
2.750       48.254863    0.0065134031       37.076735
2.750       49.260173    0.0073677785       44.616409
2.750       50.265482    0.0060293738       38.792881
2.750       51.270792    0.0044506037       30.387801
2.750       52.276102    0.0049410547       35.760164
2.750       53.281411    0.0062740403       48.077815
2.750       54.286721    0.0053431155       43.305759
2.750       55.292031    0.0039246027       33.608844
2.750       56.297340    0.0038154890       34.489277
2.750       57.302650    0.0025878864       24.668321
2.750       58.307960    0.0034317980       34.464780
2.750       59.313269    0.0033211316       35.108472
2.750       60.318579    0.0032710763       36.367566
2.750       61.323889    0.0031022065       36.243490
2.750       62.329198    0.0023242933       28.512533
2.750       63.334508    0.0024871495       32.010566
2.750       64.339818    0.0027314450       36.855490
2.750       66.350437    0.0026722387       39.543660
2.750       68.361056    0.0024511656       39.670640
2.750       70.371675    0.0014576798       25.735113
2.750       72.382295    0.0019960083       38.346845
2.750       74.392914    0.0018450514       38.483400
2.750       76.403533    0.0018695932       42.243287
2.750       78.414153   0.00053225170       13.000818
2.750       80.424772   0.00092987344       24.505503
2.750       82.435391   0.00083036727       23.565768
2.750       84.446011    0.0016341158       49.852909
2.750       86.456630    0.0010304774       33.736781
2.750       88.467249   0.00045398266       15.924180
2.750       90.477868   0.00014566386       5.4657422
2.750       92.488488   0.00090983809       36.466779
2.750       94.499107   0.00071405763       30.527177
2.750       96.509726    0.0015896103       72.389268
2.750       98.520346   0.00088328429       42.790617
2.750       100.53096   0.00044060759       22.678889
2.750       102.54158   0.00092459959       50.503796
2.750       104.55220    0.0013157562       76.180752
2.750       106.56282  -0.00014697283      -9.0099932
2.750       108.57344   0.00021540860       13.967032
2.750       110.58406   0.00046237598       31.676933
2.750       112.59468   0.00011393242       8.2389374
2.750       114.60530   5.9620620e-05       4.5465383
2.750       116.61592   9.5784546e-05       7.6955422
2.750       118.62654   0.00039340853       33.270521
2.750       120.63716   0.00036591179       32.545425
2.750       122.64778   0.00024078397       22.504889
2.750       124.65840   0.00047311788       46.430593
2.750       126.66902  -4.6405636e-05      -4.7780663
2.750       128.67964   0.00048485576       52.337417
2.750       132.70087   0.00050532604       59.822324
2.750       136.72211  -0.00023982558      -31.051460
2.750       140.74335   0.00036918174       52.142773
2.750       144.76459   0.00046327971       71.203373
2.750       148.78583   0.00029919625       49.924198
2.750       152.80707  -0.00014474197      -26.163452
2.750       156.82831  -0.00015791834      -30.858597
2.750       160.84954   0.00034787143       73.341287
2.750       164.87078   6.9221141e-06       1.5715931
2.750       168.89202   0.00042042589       102.60939
